gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
RFC1,733.7312004279847,0.35587221313766454,0.1770311725136567,2.010223443050469,0.04440754530152054,0.9998768502382094,RFC1
RHBDD2,430.9023108079083,-0.2753578251979532,0.21448891022358796,-1.283785837276688,0.19921690040092732,0.9998768502382094,RHBDD2
RHBDD1,360.2004748830567,0.11954666207528337,0.22368496519674086,0.5344420979306177,0.5930356996021706,0.9998768502382094,RHBDD1
RHAG,823.6294780467027,0.5099828022415303,0.6160471799017189,0.8278307553049596,0.40776635447735154,0.9998768502382094,RHAG
RFX7,1770.7233514252275,-0.1451459395143472,0.13271528759788775,-1.0936640543938159,0.27410234485467466,0.9998768502382094,RFX7
RFX5-AS1,12.669298763877439,0.49790819416027887,1.0909607310532732,0.4563942404045754,0.6481065067057841,0.9998768502382094,RFX5-AS1
RFX5,1403.073669570648,-0.01255544169040276,0.13611593347438825,-0.09224079334375067,0.9265067277786913,0.9998768502382094,RFX5
RFX3-DT,52.756095275846604,-0.09676690651792624,0.542057046766944,-0.17851793846253772,0.8583162346083478,0.9998768502382094,RFX3-DT
RFX3,396.10985136812906,-0.16949532865826786,0.22100483535816826,-0.7669304084844014,0.4431228928708384,0.9998768502382094,RFX3
RELB,214.32180696163672,-0.10659042601518337,0.2821547331181161,-0.37777295045609705,0.7055992696526543,0.9998768502382094,RELB
REPIN1,564.7067280663496,-0.04961581189833487,0.1855889973817253,-0.26734242114732426,0.7892055276066128,0.9998768502382094,REPIN1
RFPL3S,78.59715735512748,-0.1755679892127793,0.4537245400931783,-0.38694840966002,0.6987944015760756,0.9998768502382094,RFPL3S
RFPL1S,13.669141153069909,-0.6033408655683171,1.0548523232898033,-0.5719671391410105,0.5673442372566095,0.9998768502382094,RFPL1S
RFNG,252.19035886973015,-0.15387024505491215,0.262221027244777,-0.5867959815109639,0.5573407359980153,0.9998768502382094,RFNG
RELT,928.9341264289103,0.18332962397165622,0.17464069421187908,1.0497531792288655,0.2938316068311374,0.9998768502382094,RELT
RELN,16.62440915069414,-0.48453609724804275,0.9752321855762097,-0.49684178231028925,0.6193006283706459,0.9998768502382094,RELN
RELL2,142.35801554515965,0.08794480788078793,0.3373245744134007,0.26071272166791243,0.7943140547897871,0.9998768502382094,RELL2
RELL1,101.07345788115732,0.5741887200673481,0.42593521833308556,1.3480658451171486,0.17763720556629858,0.9998768502382094,RELL1
RELCH,777.9881815283238,0.03810695094730465,0.16513711291526392,0.2307594596670604,0.8175016777314938,0.9998768502382094,RELCH
REPS1,732.2664829728105,-0.04669657783320436,0.17042425929993968,-0.2740019409503216,0.7840831300595417,0.9998768502382094,REPS1
RELA-DT,109.03049978059431,-0.13444137452670132,0.3826454738902946,-0.35134709202191167,0.7253279696880714,0.9998768502382094,RELA-DT
RELA,606.6671650956982,-0.2722783700966555,0.18696955876846535,-1.4562711271829696,0.14531768384488794,0.9998768502382094,RELA
REL,1550.9603591212554,-0.1889784286832044,0.1381658353752317,-1.3677652523141886,0.17138556751324108,0.9998768502382094,REL
REEP6,20.302751994535726,-0.038478960363169994,0.868322434900388,-0.044314138177927204,0.9646540021093698,0.9998768502382094,REEP6
REEP5,1137.461726088411,0.1264908893067237,0.1455968056808044,0.8687751679390062,0.38497011788020163,0.9998768502382094,REEP5
REEP4,252.85007128338538,0.15333657677142148,0.26666839394648817,0.5750084383910575,0.5652855900407009,0.9998768502382094,REEP4
REEP3,488.75314366757914,0.1395855772363744,0.20777331033553562,0.6718166881538152,0.5017004033776945,0.9998768502382094,REEP3
REXO1,318.59546817597595,-0.05937178162963524,0.23655532116043088,-0.25098476474080045,0.801825888237859,0.9998768502382094,REXO1
RETREG3,519.2034484151156,-0.16971056522283853,0.1923987266949582,-0.8820773824138088,0.3777349622801832,0.9998768502382094,RETREG3
REXO4,235.65008562044704,-0.0857010158873714,0.2694216154427012,-0.3180925767464924,0.7504147143288478,0.9998768502382094,REXO4
REXO2,336.58316006232707,0.22426725014525792,0.22995915411143478,0.9752481957581969,0.32943716046615834,0.9998768502382094,REXO2
